provider,query_id,model,condition,answer_chars,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.5-flash,assoc,20.0,6.32310312500158,0.9512195121951219,0.0,-0.0017234126780163467,0.5,0.0,756.0,412.0,14.0,207.0,11.0,1366.0,0
gemini,non_relative_not_absolute,gemini-3.5-flash,random,20.0,5.968917166999745,0.5121951219512195,0.0,-0.014600417277440908,0.0,0.0,720.0,376.0,6.0,217.0,11.0,1330.0,0
gemini,non_relative_not_absolute,gemini-3.5-flash,facts,18.0,10.905757208000068,0.641025641025641,0.020955889609286786,0.042121583942353255,0.0,0.0,1162.0,462.0,24.0,173.0,11.0,1772.0,0
gemini,non_relative_not_absolute,gemini-3.5-flash,isomorphic,19.0,8.942767791000733,0.9,0.012312415223340905,0.8992012864283918,0.5,0.0,1310.0,610.0,29.0,202.0,11.0,1920.0,0
gemini,reality_interface,gemini-3.5-flash,assoc,19.0,5.9921528340000805,0.9411764705882353,0.0,-0.012381909006430304,0.5,0.0,759.0,416.0,13.0,215.0,11.0,1359.0,0
gemini,reality_interface,gemini-3.5-flash,random,14.0,8.940301750000799,0.9310344827586207,0.012435898569677046,-0.012435898569677046,0.5,0.0,716.0,373.0,13.0,222.0,11.0,1316.0,0
gemini,reality_interface,gemini-3.5-flash,facts,10.0,13.798020082998846,1.0,0.0,-0.012381909006430304,0.5,0.0,1177.0,477.0,24.0,220.0,11.0,1777.0,0
gemini,reality_interface,gemini-3.5-flash,isomorphic,20.0,14.626629000000321,0.7714285714285715,0.039949365543213045,-0.001224219689702561,0.5,0.0,1287.0,588.0,28.0,189.0,11.0,1887.0,0
gemini,wander_before_deciding,gemini-3.5-flash,assoc,52.0,7.202822582999943,0.8651685393258427,0.07078604488832729,0.7792599915579836,0.5,0.0,797.0,453.0,13.0,204.0,11.0,1391.0,0
gemini,wander_before_deciding,gemini-3.5-flash,random,56.0,6.462742292000257,0.7849462365591398,0.10770723533897088,0.7368037163002423,0.5,0.0,761.0,417.0,12.0,201.0,11.0,1355.0,0
gemini,wander_before_deciding,gemini-3.5-flash,facts,56.0,13.60974320800051,0.5913978494623655,0.066628091435676,0.039184788012446084,0.0,0.0,1206.0,506.0,26.0,196.0,11.0,1800.0,0
gemini,wander_before_deciding,gemini-3.5-flash,isomorphic,52.0,9.507728874999884,0.8651685393258427,0.07078604488832729,0.7792599915579836,0.5,0.0,1311.0,611.0,28.0,197.0,11.0,1905.0,0
claude,non_relative_not_absolute,haiku,assoc,473.0,32.34378020800068,0.927536231884058,0.14893595229250714,0.01750727426566767,0.16666666666666666,9.523809523809524,14806.0,12986.0,1820.0,637.0,11.0,28962.0,0
claude,non_relative_not_absolute,haiku,random,444.0,31.132722707998255,0.8648310387984981,0.18466773690247426,0.0527489953611926,0.5416666666666666,5.319148936170213,14895.0,12965.0,1930.0,613.0,11.0,29051.0,0
claude,non_relative_not_absolute,haiku,facts,478.0,64.85154562500065,0.8727490996398559,0.17157621298147988,-0.03590986517273825,0.23076923076923075,2.710027100271003,25049.0,19311.0,5738.0,583.0,11.0,39205.0,0
claude,non_relative_not_absolute,haiku,isomorphic,394.0,75.71141562500088,0.9412550066755674,0.21248774783208133,-0.005775381842293231,0.25,13.157894736842104,27175.0,19881.0,7294.0,592.0,11.0,41331.0,0
claude,reality_interface,haiku,assoc,390.0,37.249842916999114,0.8714462299134734,0.18928109107171523,-0.05548603845392738,0.35,18.6046511627907,15680.0,12967.0,2713.0,630.0,11.0,29914.0,0
claude,reality_interface,haiku,random,1245.0,30.865808333999667,0.9903846153846154,0.05498273737052816,-0.16308216331884356,0.5,2.824858757062147,14488.0,12953.0,1535.0,584.0,11.0,28722.0,0
claude,reality_interface,haiku,facts,413.0,58.63714962499944,0.7884615384615384,0.21569171284866356,-0.02251929629735415,0.4666666666666667,2.5839793281653747,24296.0,19265.0,5031.0,580.0,11.0,38530.0,0
claude,reality_interface,haiku,isomorphic,432.0,80.9252498750011,0.9059929494712103,0.18139502112209893,-0.04220322167941587,0.4666666666666667,9.685230024213075,27609.0,19884.0,7725.0,634.0,11.0,41843.0,0
claude,wander_before_deciding,haiku,assoc,1366.0,33.74144083399915,0.972436974789916,0.5703923930468577,-0.031685805397115796,0.5,0.0,14514.0,12872.0,1642.0,440.0,11.0,28634.0,0
claude,wander_before_deciding,haiku,random,1513.0,34.415546707999965,0.9244074311338886,0.6235541481526864,0.0052227711579210245,0.5,1.8034265103697025,14577.0,12841.0,1736.0,422.0,11.0,28697.0,0
claude,wander_before_deciding,haiku,facts,1771.0,64.93113108300167,0.9201183431952663,0.5865415861386705,0.0022538678198700812,0.0,1.4398848092152627,24163.0,19124.0,5039.0,467.0,11.0,38283.0,0
claude,wander_before_deciding,haiku,isomorphic,1509.0,64.93279912500111,0.962796664528544,0.5782340469266752,0.0016752798204591746,0.0,0.7507507507507507,24326.0,19386.0,4940.0,453.0,11.0,38446.0,0
