provider,query_id,model,condition,answer_chars,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc,146.0,40.508026167000935,0.875,0.0523852248002273,0.007211418895232143,0.5,19.607843137254903,1669.0,493.0,45.0,397.0,11.0,5863.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random,591.0,32.143420209000396,0.9191073919107392,0.09904725924808201,0.14487382066501378,0.3571428571428571,0.0,1378.0,465.0,290.0,404.0,11.0,5572.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts,125.0,43.85227550000127,0.6812749003984064,0.28825261043613215,0.006854731813840283,0.25,15.384615384615385,2384.0,572.0,69.0,405.0,11.0,6578.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic,135.0,45.79279758300072,0.8007662835249042,0.09244636299870866,0.0044810284273595555,0.41666666666666663,10.48951048951049,2686.0,874.0,212.0,621.0,11.0,6880.0,0
gemini,reality_interface,gemini-3.1-pro-preview,assoc,780.0,36.17412662499919,0.9401069518716577,0.11488575666559174,0.06965099644403537,0.5,31.746031746031747,1592.0,502.0,391.0,414.0,11.0,5776.0,0
gemini,reality_interface,gemini-3.1-pro-preview,random,137.0,39.66264091599987,0.8835616438356164,0.05044463375844744,0.10613999233260916,0.5,44.11764705882353,1638.0,463.0,43.0,406.0,11.0,5822.0,0
gemini,reality_interface,gemini-3.1-pro-preview,facts,139.0,48.180541542000356,0.8231292517006803,0.07811561838529195,0.10946558857872657,0.5,0.0,2365.0,553.0,66.0,397.0,11.0,6549.0,0
gemini,reality_interface,gemini-3.1-pro-preview,isomorphic,640.0,45.45881720899888,0.8918238993710692,0.1472206180598976,0.05931978763821741,0.5,5.681818181818182,2479.0,792.0,421.0,510.0,11.0,6663.0,0
gemini,wander_before_deciding,gemini-3.1-pro-preview,assoc,630.0,22.638038790999417,0.9384902143522833,0.43258977943163585,0.0014535712270418721,0.5,10.416666666666666,1803.0,593.0,77.0,364.0,11.0,3321.0,0
gemini,wander_before_deciding,gemini-3.1-pro-preview,random,714.0,28.601903916000083,0.975799481417459,0.46841691623650106,-0.01732538240520287,0.5,2.506265664160401,1948.0,561.0,149.0,427.0,11.0,3466.0,0
gemini,wander_before_deciding,gemini-3.1-pro-preview,facts,315.0,33.462963833000686,0.9736147757255936,0.4007579069739694,-0.05570499632196507,0.0,0.0,2532.0,658.0,49.0,378.0,11.0,4050.0,0
gemini,wander_before_deciding,gemini-3.1-pro-preview,isomorphic,534.0,32.76519887500035,0.8996929375639713,0.46386345176607613,-0.05057620295714216,0.5,0.0,2706.0,785.0,84.0,358.0,11.0,4224.0,0
claude,non_relative_not_absolute,opus,assoc,1337.0,64.9758749169996,0.9346510689794272,0.2930296053168971,0.001387334181176758,0.11379310344827587,11.532125205930807,5551.0,5441.0,110.0,976.0,11.0,15235.0,0
claude,non_relative_not_absolute,opus,random,1253.0,85.59902366699862,0.941544885177453,0.28003832017148145,-0.06051099899801764,0.2625,9.186351706036746,6747.0,5393.0,1354.0,1117.0,11.0,16431.0,0
claude,non_relative_not_absolute,opus,facts,780.0,70.9709101669996,0.9552549427679501,0.275825219511453,-0.05102472450532797,0.22380952380952382,3.179650238473768,8440.0,7886.0,554.0,1000.0,11.0,18124.0,0
claude,non_relative_not_absolute,opus,isomorphic,844.0,108.45024920900141,0.9536757301107754,0.2512729824946651,-0.03942762937812891,0.43333333333333335,7.2727272727272725,12140.0,8644.0,3496.0,907.0,11.0,21824.0,0
claude,reality_interface,opus,assoc,1318.0,62.477199375000055,0.9384316267012314,0.33757574342403146,0.00760176172391458,0.13636363636363635,2.577319587628866,6105.0,5402.0,703.0,1145.0,11.0,14517.0,0
claude,reality_interface,opus,random,1489.0,69.40057337500002,0.9643844028246853,0.34321282022364547,-0.01676384602019365,0.2792207792207792,1.5822784810126582,6373.0,5387.0,986.0,1000.0,11.0,14785.0,0
claude,reality_interface,opus,facts,850.0,85.14088583300145,0.9564553093964858,0.2861413401259212,-0.016448229949062393,0.21212121212121215,2.949852507374631,9778.0,7840.0,1938.0,1035.0,11.0,18190.0,0
claude,reality_interface,opus,isomorphic,1079.0,107.48622450000039,0.9065683175272217,0.34192514873008234,-0.0020198944878068725,0.33333333333333337,4.237288135593221,12492.0,8774.0,3718.0,1066.0,11.0,20904.0,0
claude,wander_before_deciding,opus,assoc,2689.0,36.293691916998796,0.9522012578616352,0.7090842290605518,-0.0005513156333405433,0.5,1.5325670498084292,6022.0,5543.0,479.0,603.0,11.0,12826.0,0
claude,wander_before_deciding,opus,random,2524.0,36.12698120800087,0.9625925925925926,0.676055255202937,0.026513238945123196,0.2424242424242424,0.651890482398957,6009.0,5554.0,455.0,657.0,11.0,12813.0,0
claude,wander_before_deciding,opus,facts,2998.0,52.16468962500039,0.9717398706162751,0.693216703676507,-0.015664425121626746,0.3571428571428571,0.0,9433.0,8023.0,1410.0,686.0,11.0,16237.0,0
claude,wander_before_deciding,opus,isomorphic,3415.0,93.23183654199966,0.968208551899539,0.7208354087287786,-0.024028806026940297,0.16666666666666663,1.21580547112462,12827.0,8394.0,4433.0,678.0,11.0,19631.0,0
