provider,condition,answer_chars_mean,query_alignment_delta_mean,api_total_delta_mean,stance_shift_mean,diff_ratio_mean
gemini,assoc_dose_128,810.0,0.16186956457107993,1552.0,0.5714285714285714,0.952232606438214
gemini,assoc_dose_256,132.0,0.1077425773496762,1644.0,0.5,0.8315789473684211
gemini,assoc_dose_512,137.0,-0.02533783517862885,1790.0,0.6666666666666667,0.8344827586206897
gemini,assoc_dose_64,137.0,-0.010085002606251316,1511.0,0.0,0.7862068965517242
gemini,facts_dose_128,139.0,0.3113854731314633,1865.0,0.4444444444444444,0.8082191780821918
gemini,facts_dose_256,124.0,0.02007179251997922,2209.0,0.3333333333333333,0.6389891696750902
gemini,facts_dose_512,123.0,0.029625517672351886,2876.0,0.5,0.8260869565217391
gemini,facts_dose_64,341.0,0.04027239106902862,1745.0,0.5333333333333333,0.8704453441295547
gemini,isomorphic_dose_128,116.0,-0.011486558217556762,2242.0,0.5,0.8364312267657993
gemini,isomorphic_dose_256,134.0,-0.019188503865883617,2385.0,0.33333333333333337,0.8118466898954704
gemini,isomorphic_dose_512,151.0,0.03828424822798372,3037.0,0.6666666666666666,0.7960526315789473
gemini,isomorphic_dose_64,138.0,0.0065130823714147495,1884.0,0.5,0.8144329896907216
gemini,random_dose_128,151.0,-0.016203914186902712,1524.0,0.5,0.8486842105263158
gemini,random_dose_256,127.0,-0.015398684109709852,1582.0,0.5,0.8857142857142857
gemini,random_dose_512,136.0,0.04431117569985491,1767.0,0.33333333333333337,0.8269896193771626
gemini,random_dose_64,546.0,0.1289121764705025,1462.0,0.39999999999999997,0.9341917024320457
