provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,query_alignment_delta,diff_ratio,stance_shift,spatial_log_density,api_total_delta,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,is_baseline_reference
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,assoc,0,none,153.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_64,assoc,64,none,137.0,-0.010085002606251316,0.7862068965517242,0.0,3.0303030303030303,1511.0,0.5257289115359391,0.47427108846406085,0.20835744369228199,0.5740402703374958,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_128,assoc,128,none,810.0,0.16186956457107993,0.952232606438214,0.5714285714285714,3.861003861003861,1552.0,0.41522284939811305,0.584777150601887,0.40454630593815966,0.6949813466774012,0.0382933916079683,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_256,assoc,256,none,132.0,0.1077425773496762,0.8315789473684211,0.5,0.0,1644.0,0.5804809931072901,0.5679018465433687,0.3087280810843368,0.5463765785483704,0.018890209506698216,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_512,assoc,512,none,137.0,-0.02533783517862885,0.8344827586206897,0.6666666666666667,0.0,1790.0,0.6101811243175814,0.5885826453592331,0.17008770622730168,0.5597649077436987,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,none,153.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_64,facts,64,none,341.0,0.04027239106902862,0.8704453441295547,0.5333333333333333,17.54385964912281,1745.0,0.40007007768628067,0.7461469259695985,0.3020822775965398,0.5779650509866676,0.00907730685031293,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128,facts,128,none,139.0,0.3113854731314633,0.8082191780821918,0.4444444444444444,31.25,1865.0,0.546378032068237,0.6324822783386131,0.518885320637176,0.5550084795434399,0.10219228120202638,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_256,facts,256,none,124.0,0.02007179251997922,0.6389891696750902,0.3333333333333333,0.0,2209.0,0.5451601543507717,0.5594780001730131,0.2135819996104651,0.48788770914732515,0.002398467406554584,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512,facts,512,none,123.0,0.029625517672351886,0.8260869565217391,0.5,0.0,2876.0,0.5315459832498329,0.5932986432073419,0.261694267281867,0.5612961271600263,0.004599742416548227,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,none,153.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_64,isomorphic,64,none,138.0,0.0065130823714147495,0.8144329896907216,0.5,0.0,1884.0,0.5516343572437166,0.6129537555031983,0.19102750438352556,0.42446793699938046,0.0007626234987001525,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128,isomorphic,128,none,116.0,-0.011486558217556762,0.8364312267657993,0.5,0.0,2242.0,0.5802496179557605,0.5808630250762774,0.15054730222068635,0.563625642842033,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_256,isomorphic,256,none,134.0,-0.019188503865883617,0.8118466898954704,0.33333333333333337,0.0,2385.0,0.5466141483339862,0.5780562162800038,0.1618914525552135,0.4999812305639665,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512,isomorphic,512,none,151.0,0.03828424822798372,0.7960526315789473,0.6666666666666666,0.0,3037.0,0.5502574922641161,0.599792182857996,0.23929751610686245,0.5524900798763044,0.005494891423701205,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,random,0,none,153.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_64,random,64,none,546.0,0.1289121764705025,0.9341917024320457,0.39999999999999997,0.0,1462.0,0.40202694067535005,0.8076184324089911,0.3530674672738802,0.7180611354798975,0.03675850715016707,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_128,random,128,none,151.0,-0.016203914186902712,0.8486842105263158,0.5,10.0,1524.0,0.5339018175762911,0.6272773861676204,0.15692237184155122,0.6006013886780859,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_256,random,256,none,127.0,-0.015398684109709852,0.8857142857142857,0.5,0.0,1582.0,0.6119315152103095,0.5456590247056899,0.18389635606299368,0.5596869016848797,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_512,random,512,none,136.0,0.04431117569985491,0.8269896193771626,0.33333333333333337,14.925373134328359,1767.0,0.5790410481855178,0.6367134407650853,0.2418456218599672,0.46712774474490143,0.00682331656597859,divergence,False
