provider,query_id,model,condition,scaffold_condition,scaffold_dose,answer_chars,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_64,assoc,64,142.0,38.48850245799986,0.7472118959107807,0.1352831858094932,-0.005435677219140886,0.5,0.0,1506.0,331.0,165.0,322.0,11.0,5700.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_128,assoc,128,561.0,36.83563824999965,0.9244186046511628,0.11567431003836831,0.043423782519324355,0.38095238095238093,0.0,1556.0,380.0,397.0,381.0,11.0,5750.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_256,assoc,256,127.0,36.59736304099988,0.7952755905511811,0.047666846488231725,-0.02167870627001133,0.16666666666666666,6.289308176100629,1651.0,475.0,116.0,430.0,11.0,5845.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_512,assoc,512,150.0,37.04645908400016,0.7906137184115524,0.07586563200761808,0.00626154773358319,0.5,5.847953216374269,1786.0,611.0,97.0,673.0,11.0,5980.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_64,random,64,212.0,36.745748000000276,0.9174041297935103,0.06180048065322366,-0.013565754973592522,0.5,15.625,1461.0,285.0,79.0,137.0,11.0,5655.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_128,random,128,396.0,32.29928937499972,0.9158699808795411,0.10353932785691433,0.12795557374297684,0.5,14.925373134328359,1524.0,348.0,194.0,239.0,11.0,5718.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_256,random,256,404.0,31.827312207999967,0.9133709981167608,0.0928773083514374,0.04027694953547526,1.0,4.25531914893617,1062.0,408.0,318.0,479.0,11.0,5256.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_512,random,512,413.0,37.87336587499976,0.8740740740740741,0.11271444712813654,0.1375750228814786,0.5,9.090909090909092,1770.0,595.0,313.0,745.0,11.0,5964.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_64,facts,64,143.0,42.60970270799953,0.8222222222222222,0.10921258785493826,0.21710548087523382,0.6666666666666666,0.0,1748.0,417.0,55.0,172.0,11.0,5942.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128,facts,128,138.0,40.814233375000185,0.7283018867924529,0.1488260708362074,0.020415654610310422,0.6666666666666666,0.0,1869.0,441.0,55.0,193.0,11.0,6063.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_256,facts,256,136.0,43.851893166999616,0.8555133079847909,0.08626049408180038,-0.005302612338752611,0.7777777777777777,17.857142857142858,2207.0,524.0,67.0,336.0,11.0,6401.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512,facts,512,151.0,50.746208667000246,0.8776978417266187,0.029494326052296318,-0.032010045869241596,0.5,2.9069767441860463,2875.0,679.0,257.0,851.0,11.0,7069.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_64,isomorphic,64,126.0,41.46407654199993,0.8814229249011858,0.0346116543020364,-0.032805477894539484,0.33333333333333337,0.0,1877.0,545.0,50.0,117.0,11.0,6071.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128,isomorphic,128,323.0,41.37231474999953,0.8622222222222222,0.13042589242518626,0.20101466352655156,0.3333333333333333,13.513513513513514,2042.0,615.0,167.0,225.0,11.0,6236.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_256,isomorphic,256,216.0,44.83989416700024,0.8717201166180758,0.11711847625301376,0.1759337169033492,0.6666666666666666,0.0,2373.0,690.0,118.0,328.0,11.0,6567.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512,isomorphic,512,615.0,46.520507582999926,0.9083557951482479,0.11681966421759438,0.13652773818575037,1.0,12.539184952978056,3219.0,1023.0,534.0,835.0,11.0,7413.0,0
