provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,prior_item,step_drift,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,query_alignment_delta,answer_chars
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_none,facts,128,none,baseline,0.4808343192762916,0.4808343192762916,0.5191656807237084,0.4807628249186219,0.5994263608152666,0.06874273234129753,divergence,0.27541648795188045,148.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_final_closure,facts,128,final_closure,facts_dose_128_none,0.442023597575672,0.5054899016390224,0.557976402424328,0.24313415203112537,0.5847935711388335,0.0010559445070001043,divergence,0.00778357825787887,329.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_closure,facts,128,log_closure,facts_dose_128_final_closure,0.48902921561955015,0.4769700089698219,0.5271610328162424,0.2144314837984831,0.439972330762713,0.0011592270469562359,divergence,0.010255023372731348,138.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_final_closure,facts,128,log_final_closure,facts_dose_128_log_closure,0.42716520911489997,0.4449901462321886,0.6718616739305879,0.36878601636111175,0.6280068157312761,0.03958548550137165,mixed,0.1597650070917883,406.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure,facts,128,log_skeleton_closure,facts_dose_128_log_final_closure,0.3899654137845836,0.4684462330914917,0.614656972413259,0.5026430323462403,0.5615079360451685,,divergence,,143.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_final_closure,facts,128,log_skeleton_final_closure,facts_dose_128_log_skeleton_closure,0.3566120480432291,0.44274912182553205,0.7766021005407928,0.3834482511927978,0.6252979883333737,,mixed,,420.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_none,facts,512,none,facts_dose_128_log_skeleton_final_closure,0.24095336093065978,0.4146731697512692,0.7590466390693402,0.35217196841554543,0.7129743763718573,0.03927012225604701,mixed,0.14690582177658068,489.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_final_closure,facts,512,final_closure,facts_dose_512_none,0.29759063607862524,0.4777048966396752,0.7250122943530866,0.2808145405293167,0.6602509680861514,0.01719293924136609,mixed,0.08444718273274557,445.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_closure,facts,512,log_closure,facts_dose_512_final_closure,0.3548826403620654,0.5049262285116629,0.6451173596379346,0.27975338858939247,0.5997080770282058,0.013595972036902878,divergence,0.07533489344758082,180.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_final_closure,facts,512,log_final_closure,facts_dose_512_log_closure,0.526936026936027,0.6160427861123784,0.6446302523791043,0.18805644455175835,0.519891447774267,0.0006146434539323504,divergence,0.005070191428148123,140.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure,facts,512,log_skeleton_closure,facts_dose_512_log_final_closure,0.610977792096132,0.4402452081982936,0.6057114631020615,0.22676583869968822,0.6072366871502868,,mixed,,137.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_final_closure,facts,512,log_skeleton_final_closure,facts_dose_512_log_skeleton_closure,0.402733655159633,0.425532841979147,0.7991258314412693,0.34342775193023284,0.695725893756098,,recurring_shift,,571.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_none,isomorphic,128,none,facts_dose_512_log_skeleton_final_closure,0.3297481391535466,0.5420524832287248,0.6702518608464534,0.23217922683970693,0.5011201645957012,0.005669167332886538,divergence,0.03642989226461289,231.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_final_closure,isomorphic,128,final_closure,isomorphic_dose_128_none,0.3713218184338716,0.47538824393204027,0.7710073195905726,0.32636557499335367,0.556687698802589,0.025868863978168427,mixed,0.1028050652409486,442.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_closure,isomorphic,128,log_closure,isomorphic_dose_128_final_closure,0.23965603989884676,0.42347043529559214,0.777215752171148,0.3894803936474786,0.6556165692202034,0.049505140439516114,mixed,0.16353966453411836,652.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_final_closure,isomorphic,128,log_final_closure,isomorphic_dose_128_log_closure,0.20388847124453946,0.4607642062959474,0.8039647979577336,0.3463597623195243,0.5687781375164921,0.03440209812764647,recurring_shift,0.12354366021794669,509.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure,isomorphic,128,log_skeleton_closure,isomorphic_dose_128_log_final_closure,0.4062258158805858,0.6553853334327633,0.5953583587319912,0.1762018102122618,0.5185288094843709,,divergence,,138.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_final_closure,isomorphic,128,log_skeleton_final_closure,isomorphic_dose_128_log_skeleton_closure,0.43288862399720474,0.476203332058703,0.7948320803885623,0.286534941546878,0.5707313818737539,,recurring_shift,,428.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_none,isomorphic,512,none,isomorphic_dose_128_log_skeleton_final_closure,0.43296452707311905,0.6032738668699293,0.6532929271005811,0.24797528942210748,0.5269871596236054,0.007514993315152373,divergence,0.04638870368334747,143.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_final_closure,isomorphic,512,final_closure,isomorphic_dose_512_none,0.4070649936247025,0.4447725752124362,0.7975047698804469,0.27178772428269365,0.5942786244258299,0.01047259195331969,recurring_shift,0.048316009258337386,481.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_closure,isomorphic,512,log_closure,isomorphic_dose_512_final_closure,0.2125808925689162,0.4221752608931688,0.8116576603771607,0.3697588448707034,0.6197162348811293,0.04331969406691492,recurring_shift,0.1443423985169226,623.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_final_closure,isomorphic,512,log_final_closure,isomorphic_dose_512_log_closure,0.23730926418964682,0.45659813796462034,0.8112923357396747,0.32272428730217406,0.6027823439475328,0.0247206095842619,recurring_shift,0.0944169902410338,504.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure,isomorphic,512,log_skeleton_closure,isomorphic_dose_512_log_final_closure,0.4238220517973327,0.6267005306067918,0.6005071249741768,0.213630939616813,0.5554315009844134,,divergence,,145.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_final_closure,isomorphic,512,log_skeleton_final_closure,isomorphic_dose_512_log_skeleton_closure,0.4347436561715964,0.47771800712882106,0.7859804774033122,0.3060035998659929,0.576196218287168,,recurring_shift,,488.0
