provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,final_marker_line_present,final_marker_is_last_line,ponder_log_marker_rate,ponder_log_skeleton_prefix_rate,ponder_log_skeleton_complete_rate,final_finish_is_length,ponder_finish_length_count,prompt_leakage_flag,final_finish_reason
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_none,facts,128,none,148.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_final_closure,facts,128,final_closure,329.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_closure,facts,128,log_closure,138.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_final_closure,facts,128,log_final_closure,406.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure,facts,128,log_skeleton_closure,143.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_final_closure,facts,128,log_skeleton_final_closure,420.0,1.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_none,facts,512,none,489.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_final_closure,facts,512,final_closure,445.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_closure,facts,512,log_closure,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_final_closure,facts,512,log_final_closure,140.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure,facts,512,log_skeleton_closure,137.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_final_closure,facts,512,log_skeleton_final_closure,571.0,1.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_none,isomorphic,128,none,231.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_final_closure,isomorphic,128,final_closure,442.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_closure,isomorphic,128,log_closure,652.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_final_closure,isomorphic,128,log_final_closure,509.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure,isomorphic,128,log_skeleton_closure,138.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_final_closure,isomorphic,128,log_skeleton_final_closure,428.0,1.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_none,isomorphic,512,none,143.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_final_closure,isomorphic,512,final_closure,481.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_closure,isomorphic,512,log_closure,623.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_final_closure,isomorphic,512,log_final_closure,504.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure,isomorphic,512,log_skeleton_closure,145.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_final_closure,isomorphic,512,log_skeleton_final_closure,488.0,1.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,stop
