provider,condition,answer_chars_mean,query_alignment_delta_mean,api_total_delta_mean,stance_shift_mean,diff_ratio_mean
gemini,facts_dose_128_final_closure,329.0,0.00778357825787887,1289.0,0.5,0.8933333333333333
gemini,facts_dose_128_log_closure,138.0,0.010255023372731348,1914.0,0.3571428571428571,0.6138996138996139
gemini,facts_dose_128_log_final_closure,406.0,0.1597650070917883,1661.0,0.24675324675324675,0.905123339658444
gemini,facts_dose_128_log_skeleton_closure,143.0,,,,
gemini,facts_dose_128_log_skeleton_final_closure,420.0,,,,
gemini,facts_dose_128_none,148.0,0.27541648795188045,1868.0,0.38095238095238093,0.7546468401486989
gemini,facts_dose_512_final_closure,445.0,0.08444718273274557,2656.0,0.5238095238095237,0.9752650176678446
gemini,facts_dose_512_log_closure,180.0,0.07533489344758082,2924.0,0.42857142857142855,0.7209302325581395
gemini,facts_dose_512_log_final_closure,140.0,0.005070191428148123,3015.0,0.19047619047619047,0.8544061302681992
gemini,facts_dose_512_log_skeleton_closure,137.0,,,,
gemini,facts_dose_512_log_skeleton_final_closure,571.0,,,,
gemini,facts_dose_512_none,489.0,0.14690582177658068,2878.0,0.16190476190476188,0.9081967213114754
gemini,isomorphic_dose_128_final_closure,442.0,0.1028050652409486,1809.0,0.35714285714285715,0.9147424511545293
gemini,isomorphic_dose_128_log_closure,652.0,0.16353966453411836,2032.0,0.19047619047619044,0.9275549805950841
gemini,isomorphic_dose_128_log_final_closure,509.0,0.12354366021794669,1847.0,0.2857142857142857,0.9111111111111111
gemini,isomorphic_dose_128_log_skeleton_closure,138.0,,,,
gemini,isomorphic_dose_128_log_skeleton_final_closure,428.0,,,,
gemini,isomorphic_dose_128_none,231.0,0.03642989226461289,2026.0,0.22857142857142856,0.8693181818181819
gemini,isomorphic_dose_512_final_closure,481.0,0.048316009258337386,2791.0,0.2571428571428571,0.9534883720930233
gemini,isomorphic_dose_512_log_closure,623.0,0.1443423985169226,3133.0,0.4821428571428571,0.8897849462365591
gemini,isomorphic_dose_512_log_final_closure,504.0,0.0944169902410338,2623.0,0.19047619047619047,0.9136
gemini,isomorphic_dose_512_log_skeleton_closure,145.0,,,,
gemini,isomorphic_dose_512_log_skeleton_final_closure,488.0,,,,
gemini,isomorphic_dose_512_none,143.0,0.04638870368334747,3053.0,0.7142857142857143,0.9318181818181819
