provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,query_alignment_delta,diff_ratio,stance_shift,spatial_log_density,api_total_delta,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,is_baseline_reference
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,final_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_final_closure,facts,128,final_closure,329.0,0.00778357825787887,0.8933333333333333,0.5,0.0,1289.0,0.5054899016390224,0.557976402424328,0.24313415203112537,0.5847935711388335,0.0010559445070001043,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_final_closure,facts,512,final_closure,445.0,0.08444718273274557,0.9752650176678446,0.5238095238095237,0.0,2656.0,0.4777048966396752,0.7250122943530866,0.2808145405293167,0.6602509680861514,0.01719293924136609,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,log_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_closure,facts,128,log_closure,138.0,0.010255023372731348,0.6138996138996139,0.3571428571428571,0.0,1914.0,0.4769700089698219,0.5271610328162424,0.2144314837984831,0.439972330762713,0.0011592270469562359,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_closure,facts,512,log_closure,180.0,0.07533489344758082,0.7209302325581395,0.42857142857142855,14.084507042253522,2924.0,0.5049262285116629,0.6451173596379346,0.27975338858939247,0.5997080770282058,0.013595972036902878,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,log_final_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_final_closure,facts,128,log_final_closure,406.0,0.1597650070917883,0.905123339658444,0.24675324675324675,20.833333333333332,1661.0,0.4449901462321886,0.6718616739305879,0.36878601636111175,0.6280068157312761,0.03958548550137165,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_final_closure,facts,512,log_final_closure,140.0,0.005070191428148123,0.8544061302681992,0.19047619047619047,20.0,3015.0,0.6160427861123784,0.6446302523791043,0.18805644455175835,0.519891447774267,0.0006146434539323504,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,log_skeleton_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure,facts,128,log_skeleton_closure,143.0,,,,,,0.4684462330914917,0.614656972413259,0.5026430323462403,0.5615079360451685,,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure,facts,512,log_skeleton_closure,137.0,,,,,,0.4402452081982936,0.6057114631020615,0.22676583869968822,0.6072366871502868,,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,log_skeleton_final_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_final_closure,facts,128,log_skeleton_final_closure,420.0,,,,,,0.44274912182553205,0.7766021005407928,0.3834482511927978,0.6252979883333737,,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_final_closure,facts,512,log_skeleton_final_closure,571.0,,,,,,0.425532841979147,0.7991258314412693,0.34342775193023284,0.695725893756098,,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,none,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_none,facts,128,none,148.0,0.27541648795188045,0.7546468401486989,0.38095238095238093,2.785515320334262,1868.0,0.4808343192762916,0.5191656807237084,0.4807628249186219,0.5994263608152666,0.06874273234129753,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_none,facts,512,none,489.0,0.14690582177658068,0.9081967213114754,0.16190476190476188,9.090909090909092,2878.0,0.4146731697512692,0.7590466390693402,0.35217196841554543,0.7129743763718573,0.03927012225604701,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,final_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_final_closure,isomorphic,128,final_closure,442.0,0.1028050652409486,0.9147424511545293,0.35714285714285715,15.151515151515152,1809.0,0.47538824393204027,0.7710073195905726,0.32636557499335367,0.556687698802589,0.025868863978168427,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_final_closure,isomorphic,512,final_closure,481.0,0.048316009258337386,0.9534883720930233,0.2571428571428571,14.705882352941176,2791.0,0.4447725752124362,0.7975047698804469,0.27178772428269365,0.5942786244258299,0.01047259195331969,recurring_shift,False
