provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,final_marker_line_present,final_marker_is_last_line,prompt_leakage_flag,ponder_log_count,ponder_log_marker_count,ponder_log_marker_rate,final_finish_reason,final_finish_is_length,ponder_finish_length_count,ponder_finish_stop_count,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_none,facts,128,none,148.0,0,0,0,1,0,0.0,length,1,1,0,42.33304533400042,0.7546468401486989,0.14808502749553526,0.27541648795188045,0.38095238095238093,2.785515320334262,1868.0,440.0,220.0,470.0,11.0,6062.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_final_closure,facts,128,final_closure,329.0,1,1,0,1,0,0.0,stop,0,1,0,34.69843300000139,0.8933333333333333,0.06721738686030906,0.00778357825787887,0.5,0.0,1289.0,525.0,158.0,181.0,11.0,5483.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_closure,facts,128,log_closure,138.0,0,0,0,1,0,0.0,length,1,1,0,41.594288332998985,0.6138996138996139,0.17295086443065127,0.010255023372731348,0.3571428571428571,0.0,1914.0,486.0,56.0,180.0,11.0,6108.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_final_closure,facts,128,log_final_closure,406.0,1,1,0,1,0,0.0,length,1,1,0,42.693078165999395,0.905123339658444,0.12102126728551277,0.1597650070917883,0.24675324675324675,20.833333333333332,1661.0,578.0,194.0,188.0,11.0,5855.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_none,facts,512,none,489.0,0,0,0,1,0,0.0,length,1,1,0,48.83352362500045,0.9081967213114754,0.15627787353546366,0.14690582177658068,0.16190476190476188,9.090909090909092,2878.0,683.0,304.0,649.0,11.0,7072.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_final_closure,facts,512,final_closure,445.0,1,1,0,1,0,0.0,stop,0,1,0,45.52189479199842,0.9752650176678446,0.06838233962371527,0.08444718273274557,0.5238095238095237,0.0,2656.0,769.0,297.0,634.0,11.0,6850.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_closure,facts,512,log_closure,180.0,0,0,0,1,0,0.0,length,1,1,0,48.84283320800023,0.7209302325581395,0.11966470900605027,0.07533489344758082,0.42857142857142855,14.084507042253522,2924.0,728.0,112.0,594.0,11.0,7118.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_final_closure,facts,512,log_final_closure,140.0,0,0,0,1,0,0.0,length,1,1,0,48.10263599999962,0.8544061302681992,0.05500708468193279,0.005070191428148123,0.19047619047619047,20.0,3015.0,819.0,84.0,585.0,11.0,7209.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_none,isomorphic,128,none,231.0,0,0,0,1,0,0.0,length,1,1,0,36.89385854200009,0.8693181818181819,0.07450574885424133,0.03642989226461289,0.22857142857142856,0.0,2026.0,598.0,100.0,202.0,11.0,6220.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_final_closure,isomorphic,128,final_closure,442.0,1,1,0,1,0,0.0,stop,0,1,0,39.96284141599972,0.9147424511545293,0.07578037433726778,0.1028050652409486,0.35714285714285715,15.151515151515152,1809.0,684.0,214.0,199.0,11.0,6003.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_closure,isomorphic,128,log_closure,652.0,0,0,0,1,1,1.0,length,1,0,1,37.25259774999904,0.9275549805950841,0.12247356796993952,0.16353966453411836,0.19047619047619044,0.0,2032.0,715.0,405.0,311.0,11.0,6226.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_final_closure,isomorphic,128,log_final_closure,509.0,1,1,0,1,0,0.0,stop,0,1,0,37.26569075000043,0.9111111111111111,0.07741098028511235,0.12354366021794669,0.2857142857142857,18.867924528301888,1847.0,733.0,255.0,191.0,11.0,6041.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_none,isomorphic,512,none,143.0,0,0,0,1,0,0.0,length,1,1,0,51.1662326250007,0.9318181818181819,0.03774371552193198,0.04638870368334747,0.7142857142857143,0.0,3053.0,858.0,85.0,579.0,11.0,7247.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_final_closure,isomorphic,512,final_closure,481.0,1,1,0,1,0,0.0,stop,0,1,0,43.9442784999992,0.9534883720930233,0.09030554787192098,0.048316009258337386,0.2571428571428571,14.705882352941176,2791.0,964.0,256.0,595.0,11.0,6985.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_closure,isomorphic,512,log_closure,623.0,0,0,0,1,0,0.0,length,1,1,0,48.07915037500061,0.8897849462365591,0.13339407416430077,0.1443423985169226,0.4821428571428571,37.735849056603776,3133.0,938.0,359.0,608.0,11.0,7327.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_final_closure,isomorphic,512,log_final_closure,504.0,1,1,0,1,0,0.0,stop,0,1,0,38.61670737500026,0.9136,0.11097013147759305,0.0944169902410338,0.19047619047619047,40.0,2623.0,993.0,276.0,585.0,11.0,6817.0,0
