provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,query_alignment_delta,diff_ratio,stance_shift,spatial_log_density,api_total_delta,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,is_baseline_reference
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,log_skeleton_closure,484.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_inherit_1024_no_rescue,facts,512,log_skeleton_closure,139.0,-0.06961055723253784,0.7849117174959872,0.3555555555555556,23.25581395348837,2983.0,0.3970837389189771,0.6029162610810229,0.2325989525498185,0.5490790229901098,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_1024_no_rescue,facts,512,log_skeleton_closure,135.0,-0.0920198022494786,0.8255250403877221,0.33333333333333337,14.285714285714286,2600.0,0.40919220898933106,0.5908077910106689,0.2781026747425877,0.5229720140193459,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_inherit_2048_no_rescue,facts,512,log_skeleton_closure,608.0,0.031074521888955167,0.8644688644688645,0.4444444444444444,0.0,3994.0,0.2350829906185926,0.7649170093814074,0.3382442023639689,0.7084656949643569,0.008039872009806725,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_2048_rescue,facts,512,log_skeleton_closure,141.0,-0.061232141585997615,0.8144,0.41269841269841273,0.0,2609.0,0.4335849893423265,0.593328996947761,0.2386261433526152,0.5556690837836163,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,log_skeleton_closure,484.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_inherit_1024_no_rescue,isomorphic,512,log_skeleton_closure,146.0,-0.09867436334488533,0.8507936507936508,0.6666666666666667,0.0,3182.0,0.4219490874941899,0.6047926480247247,0.17689121447639372,0.47536164869615,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_1024_no_rescue,isomorphic,512,log_skeleton_closure,132.0,-0.1260383604092742,0.8863636363636364,0.5555555555555556,13.333333333333334,2914.0,0.4103794957656415,0.6241720248804551,0.2101504773739423,0.6465769078224454,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_inherit_2048_no_rescue,isomorphic,512,log_skeleton_closure,135.0,-0.13209759563510134,0.9030694668820678,0.6666666666666667,0.0,4092.0,0.4355196182275426,0.6021072792429595,0.14874550671401765,0.4953708609305055,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_2048_rescue,isomorphic,512,log_skeleton_closure,144.0,-0.1296589620744792,0.9299363057324841,1.0,13.513513513513514,2845.0,0.48491366537843505,0.6084458762669128,0.1986054245331751,0.5076725271004721,0.0,divergence,False
