provider,condition,answer_chars_mean,query_alignment_delta_mean,api_total_delta_mean,stance_shift_mean,diff_ratio_mean
gemini,facts_dose_128_log_skeleton_closure_high_log1024_final2048,152.0,-0.07248459965284507,1972.0,0.16666666666666666,0.6666666666666667
gemini,facts_dose_128_log_skeleton_closure_low_log1024_final2048,140.0,-0.060762998222682975,1599.0,0.35555555555555557,0.9086021505376344
gemini,facts_dose_128_log_skeleton_closure_low_log1024_final_low2048,649.0,0.08875107197937712,467.0,0.24358974358974358,0.8569807037457435
gemini,facts_dose_128_log_skeleton_closure_low_log1024_final_low4096,614.0,0.052011792746814514,809.0,0.22916666666666666,0.8770685579196218
gemini,facts_dose_128_log_skeleton_closure_low_log2048_rescue_final_low4096,714.0,0.048042997119960684,667.0,0.18055555555555552,0.9090909090909091
gemini,facts_dose_128_log_skeleton_closure_medium_log1024_final_medium4096,847.0,0.03762565271720576,1240.0,0.3472222222222222,0.8776645041705282
gemini,facts_dose_512_log_skeleton_closure_high_log1024_final2048,141.0,0.14528918369510335,2986.0,0.3055555555555556,0.5871313672922251
gemini,facts_dose_512_log_skeleton_closure_low_log1024_final2048,129.0,-0.07128996090660618,2964.0,0.33333333333333337,0.778393351800554
gemini,facts_dose_512_log_skeleton_closure_low_log1024_final_low2048,871.0,0.04227625004729264,2206.0,0.1324786324786325,0.9038984587488668
gemini,facts_dose_512_log_skeleton_closure_low_log1024_final_low4096,737.0,0.043237006005045556,1943.0,0.2916666666666667,0.8637770897832817
gemini,facts_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,898.0,0.0755497630932028,1604.0,0.15686274509803924,0.8938053097345133
gemini,facts_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,863.0,0.02909890875184816,2530.0,0.22666666666666666,0.908675799086758
gemini,isomorphic_dose_128_log_skeleton_closure_high_log1024_final2048,139.0,-0.09741071499713819,2130.0,0.5,0.8921832884097035
gemini,isomorphic_dose_128_log_skeleton_closure_low_log1024_final2048,131.0,-0.09707301611325332,2142.0,0.6666666666666667,0.8292011019283747
gemini,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low2048,446.0,-0.043344758767528066,578.0,0.2698412698412698,0.8908554572271387
gemini,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low4096,398.0,0.07185172967846355,682.0,0.2222222222222222,0.9555555555555556
gemini,isomorphic_dose_128_log_skeleton_closure_low_log2048_rescue_final_low4096,452.0,0.01827251047286145,702.0,0.4027777777777778,0.956140350877193
gemini,isomorphic_dose_128_log_skeleton_closure_medium_log1024_final_medium4096,617.0,0.05023556144401185,1148.0,0.2777777777777778,0.9222614840989399
gemini,isomorphic_dose_512_log_skeleton_closure_high_log1024_final2048,465.0,-0.06859777260731915,3165.0,0.37777777777777777,0.9081779053084649
gemini,isomorphic_dose_512_log_skeleton_closure_low_log1024_final2048,772.0,0.06423952334439884,3077.0,0.16666666666666666,0.8745019920318725
gemini,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low2048,451.0,0.08016324567653399,1558.0,0.20833333333333334,0.9238653001464129
gemini,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low4096,701.0,0.04993163240287546,1759.0,0.2222222222222222,0.9035369774919614
gemini,isomorphic_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,487.0,0.06465270614968864,1557.0,0.15555555555555556,0.847009735744089
gemini,isomorphic_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,497.0,0.05433070068339725,2552.0,0.3194444444444444,0.8491083676268861
