provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,log_phase_route,log_phase_reasoning_effort,log_phase_max_new_tokens,log_phase_rescue_enabled,log_phase_rescue_used_count,log_phase_rescue_used_rate,final_phase_reasoning_effort,final_phase_max_new_tokens,answer_chars,final_marker_line_present,final_marker_is_last_line,prompt_leakage_flag,ponder_log_count,ponder_log_marker_count,ponder_log_marker_rate,ponder_log_skeleton_prefix_count,ponder_log_skeleton_prefix_rate,ponder_log_skeleton_complete_count,ponder_log_skeleton_complete_rate,final_finish_reason,final_finish_is_length,ponder_finish_length_count,ponder_finish_stop_count,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_high_log1024_final2048,facts,128,log_skeleton_closure,,inherit,0,0,0,0.0,inherit,0,152.0,0,0,0,1,0,0.0,3,0.75,0,0.0,length,1,1,0,36.04498529199998,0.6666666666666667,0.16570823301097204,-0.07248459965284507,0.16666666666666666,0.0,1972.0,544.0,1.0,193.0,11.0,6166.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log1024_final2048,facts,128,log_skeleton_closure,low_inherit_no_rescue,low,0,0,0,0.0,inherit,0,140.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,36.04307400000005,0.9086021505376344,0.12127158741630543,-0.060762998222682975,0.35555555555555557,0.0,1599.0,549.0,16.0,209.0,11.0,5793.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log1024_final_low2048,facts,128,log_skeleton_closure,low_inherit_no_rescue__final_low_2048,low,0,0,0,0.0,low,2048,649.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,22.077383499999996,0.8569807037457435,0.23361040445461329,0.08875107197937712,0.24358974358974358,12.658227848101266,467.0,545.0,283.0,198.0,11.0,4661.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log1024_final_low4096,facts,128,log_skeleton_closure,low_inherit_no_rescue__final_low_4096,low,0,0,0,0.0,low,4096,614.0,0,0,0,1,0,0.0,4,1.0,0,0.0,stop,0,1,0,26.156021500000065,0.8770685579196218,0.18299492030324094,0.052011792746814514,0.22916666666666666,0.0,809.0,549.0,272.0,193.0,11.0,5003.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log2048_rescue_final_low4096,facts,128,log_skeleton_closure,low_2048_rescue__final_low_4096,low,2048,1,0,0.0,low,4096,714.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,23.511988209000037,0.9090909090909091,0.20340923178199755,0.048042997119960684,0.18055555555555552,29.41176470588235,667.0,546.0,326.0,195.0,11.0,4861.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_medium_log1024_final_medium4096,facts,128,log_skeleton_closure,medium_inherit_no_rescue__final_medium_4096,medium,0,0,0,0.0,medium,4096,847.0,0,0,0,1,0,0.0,4,1.0,0,0.0,stop,0,1,0,27.6598700830001,0.8776645041705282,0.2220737545288709,0.03762565271720576,0.3472222222222222,0.0,1240.0,548.0,401.0,179.0,11.0,5434.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_high_log1024_final2048,facts,512,log_skeleton_closure,,inherit,0,0,0,0.0,inherit,0,141.0,0,0,0,1,0,0.0,0,0.0,0,0.0,length,1,1,0,43.58863520800003,0.5871313672922251,0.2605408157199634,0.14528918369510335,0.3055555555555556,0.0,2986.0,790.0,30.0,576.0,11.0,7180.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log1024_final2048,facts,512,log_skeleton_closure,low_inherit_no_rescue,low,0,0,0,0.0,inherit,0,129.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,43.210082625000155,0.778393351800554,0.10222212183274039,-0.07128996090660618,0.33333333333333337,0.0,2964.0,786.0,48.0,578.0,11.0,7158.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log1024_final_low2048,facts,512,log_skeleton_closure,low_inherit_no_rescue__final_low_2048,low,0,0,0,0.0,low,2048,871.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,32.41298133300006,0.9038984587488668,0.1919840736839788,0.04227625004729264,0.1324786324786325,0.0,2206.0,787.0,437.0,583.0,11.0,6400.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log1024_final_low4096,facts,512,log_skeleton_closure,low_inherit_no_rescue__final_low_4096,low,0,0,0,0.0,low,4096,737.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,32.69621245799999,0.8637770897832817,0.1984687577325818,0.043237006005045556,0.2916666666666667,0.0,1943.0,788.0,363.0,583.0,11.0,6137.0,0
