provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,log_phase_route,log_phase_reasoning_effort,log_phase_max_new_tokens,log_phase_rescue_enabled,log_phase_rescue_used_rate,final_phase_reasoning_effort,final_phase_max_new_tokens,answer_chars,final_marker_line_present,final_marker_is_last_line,ponder_log_marker_rate,ponder_log_skeleton_prefix_rate,ponder_log_skeleton_complete_rate,final_finish_is_length,ponder_finish_length_count,prompt_leakage_flag,final_finish_reason
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log2048_final_low2048,facts,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,654.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log2048_final_low2048,facts,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,663.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log2048_final_low2048,isomorphic,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,480.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log2048_final_low2048,isomorphic,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_branch_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_branch,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,604.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_branch_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_branch,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,436.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_compete_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_compete,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,547.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_compete_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_compete,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,247.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_crossover_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_crossover,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,752.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_crossover_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_crossover,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,581.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_forget_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_forget,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,559.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_forget_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_forget,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0.0,0.0,low,2048,565.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
