provider,condition,answer_chars_mean,query_alignment_delta_mean,api_total_delta_mean,stance_shift_mean,diff_ratio_mean
gemini,evo_branch_dose_128_log_skeleton_closure_low_log2048_final_low2048,604.0,0.027670391740115846,985.0,0.16666666666666666,0.9020217729393468
gemini,evo_branch_dose_512_log_skeleton_closure_low_log2048_final_low2048,436.0,0.03554123283356769,2068.0,0.3625,0.8998211091234347
gemini,evo_compete_dose_128_log_skeleton_closure_low_log2048_final_low2048,547.0,0.010944538184938873,1561.0,0.25,0.9446704637917006
gemini,evo_compete_dose_512_log_skeleton_closure_low_log2048_final_low2048,247.0,-0.10478093703572083,2861.0,0.25,0.9095801937567276
gemini,evo_crossover_dose_128_log_skeleton_closure_low_log2048_final_low2048,752.0,0.04827664214248406,1546.0,0.07870370370370369,0.9274755927475593
gemini,evo_crossover_dose_512_log_skeleton_closure_low_log2048_final_low2048,581.0,-0.008400455014458658,2688.0,0.21428571428571427,0.9350752177355502
gemini,evo_forget_dose_128_log_skeleton_closure_low_log2048_final_low2048,559.0,0.023385831211627156,1840.0,0.1875,0.8533440773569702
gemini,evo_forget_dose_512_log_skeleton_closure_low_log2048_final_low2048,565.0,0.005089010725223303,2252.0,0.2916666666666667,0.9133921411387329
gemini,facts_dose_128_log_skeleton_closure_low_log2048_final_low2048,654.0,0.04743506684681398,822.0,0.07142857142857142,0.8353293413173652
gemini,facts_dose_512_log_skeleton_closure_low_log2048_final_low2048,663.0,-0.008946674870937033,3063.0,0.4125,0.8929368029739777
gemini,isomorphic_dose_128_log_skeleton_closure_low_log2048_final_low2048,480.0,-0.02011608508004556,1180.0,0.23295454545454544,0.9311531841652324
gemini,isomorphic_dose_512_log_skeleton_closure_low_log2048_final_low2048,500.0,0.008555826001766603,2592.0,0.32499999999999996,0.9272419627749577
