provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,query_alignment_delta,diff_ratio,stance_shift,spatial_log_density,api_total_delta,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,is_baseline_reference
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,evo_branch,0,log_skeleton_closure,682.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_branch_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_branch,128,log_skeleton_closure,604.0,0.027670391740115846,0.9020217729393468,0.16666666666666666,14.705882352941176,985.0,0.18748795569335153,0.8196703278336293,0.403292444431254,0.5666581881980473,0.009146914239664204,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_branch_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_branch,512,log_skeleton_closure,436.0,0.03554123283356769,0.8998211091234347,0.3625,0.0,2068.0,0.24277145745423168,0.7751107981115337,0.3686157940332276,0.6218327688602244,0.01015477288812637,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,evo_compete,0,log_skeleton_closure,682.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_compete_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_compete,128,log_skeleton_closure,547.0,0.010944538184938873,0.9446704637917006,0.25,0.0,1561.0,0.23557657517109343,0.7949209665097765,0.3462816949187722,0.6576347403204164,0.0030126655915734043,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_compete_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_compete,512,log_skeleton_closure,247.0,-0.10478093703572083,0.9095801937567276,0.25,0.0,2861.0,0.2863738229334519,0.751033184443361,0.25855822092373487,0.582804617542834,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,evo_crossover,0,log_skeleton_closure,682.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_crossover_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_crossover,128,log_skeleton_closure,752.0,0.04827664214248406,0.9274755927475593,0.07870370370370369,0.0,1546.0,0.16687706137839098,0.8431245544006252,0.40419408583628835,0.5914156380368993,0.016452001766271523,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_crossover_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_crossover,512,log_skeleton_closure,581.0,-0.008400455014458658,0.9350752177355502,0.21428571428571427,13.333333333333334,2688.0,0.20407063778713286,0.804651901389954,0.32182848049433915,0.6812524466511783,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,evo_forget,0,log_skeleton_closure,682.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_forget_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_forget,128,log_skeleton_closure,559.0,0.023385831211627156,0.8533440773569702,0.1875,13.513513513513514,1840.0,0.21836025935336156,0.7961692181966646,0.3732681010576919,0.572023144095831,0.006949908244095303,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_forget_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_forget,512,log_skeleton_closure,565.0,0.005089010725223303,0.9133921411387329,0.2916666666666667,0.0,2252.0,0.21745090689166968,0.7965234105460045,0.35199430204111426,0.6491910336086163,0.0014268145982958098,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,log_skeleton_closure,682.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log2048_final_low2048,facts,128,log_skeleton_closure,654.0,0.04743506684681398,0.8353293413173652,0.07142857142857142,13.513513513513514,822.0,0.16928506246907238,0.8307149375309276,0.3987815227902343,0.6928225871378814,0.015713993319865314,convergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log2048_final_low2048,facts,512,log_skeleton_closure,663.0,-0.008946674870937033,0.8929368029739777,0.4125,12.987012987012987,3063.0,0.17838330412427417,0.8216166958757258,0.3461103290996819,0.63831829367617,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,log_skeleton_closure,682.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log2048_final_low2048,isomorphic,128,log_skeleton_closure,480.0,-0.02011608508004556,0.9311531841652324,0.23295454545454544,0.0,1180.0,0.21263601773975993,0.7882190722036887,0.3456499540426907,0.579187214198892,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log2048_final_low2048,isomorphic,512,log_skeleton_closure,500.0,0.008555826001766603,0.9272419627749577,0.32499999999999996,0.0,2592.0,0.2080589769857355,0.7919410230142645,0.3818019322172775,0.6527923959480915,0.002586979016113991,mixed,False
