provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,log_phase_route,log_phase_reasoning_effort,log_phase_max_new_tokens,log_phase_rescue_enabled,log_phase_rescue_used_count,log_phase_rescue_used_rate,final_phase_reasoning_effort,final_phase_max_new_tokens,answer_chars,final_marker_line_present,final_marker_is_last_line,prompt_leakage_flag,ponder_log_count,ponder_log_marker_count,ponder_log_marker_rate,ponder_log_skeleton_prefix_count,ponder_log_skeleton_prefix_rate,ponder_log_skeleton_complete_count,ponder_log_skeleton_complete_rate,final_finish_reason,final_finish_is_length,ponder_finish_length_count,ponder_finish_stop_count,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log2048_final_low2048,facts,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,654.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,25.40756720799982,0.8353293413173652,0.3201152307472311,0.04743506684681398,0.07142857142857142,13.513513513513514,822.0,557.0,59.0,211.0,11.0,5016.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log2048_final_low2048,facts,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,663.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,46.358651333001035,0.8929368029739777,0.26606271205323784,-0.008946674870937033,0.4125,12.987012987012987,3063.0,783.0,750.0,578.0,11.0,7257.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log2048_final_low2048,isomorphic,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,480.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,27.725010624999413,0.9311531841652324,0.2369544081501461,-0.02011608508004556,0.23295454545454544,0.0,1180.0,751.0,-18.0,223.0,11.0,5374.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log2048_final_low2048,isomorphic,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,500.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,38.709131084000546,0.9272419627749577,0.21754211656217903,0.008555826001766603,0.32499999999999996,0.0,2592.0,996.0,501.0,568.0,11.0,6786.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_branch_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_branch,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,604.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,26.683811999999307,0.9020217729393468,0.2448738671579528,0.027670391740115846,0.16666666666666666,14.705882352941176,985.0,786.0,47.0,209.0,11.0,5179.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_branch_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_branch,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,436.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,33.29582245799975,0.8998211091234347,0.18352598259605724,0.03554123283356769,0.3625,0.0,2068.0,1034.0,448.0,594.0,11.0,6262.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_compete_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_compete,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,547.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,30.26934700000129,0.9446704637917006,0.21117138699987287,0.010944538184938873,0.25,0.0,1561.0,779.0,22.0,200.0,11.0,5755.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_compete_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_compete,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,247.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,38.47655350000059,0.9095801937567276,0.17277325764166362,-0.10478093703572083,0.25,0.0,2861.0,1060.0,317.0,601.0,11.0,7055.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_crossover_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_crossover,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,752.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,29.602352958001575,0.9274755927475593,0.30609848381445764,0.04827664214248406,0.07870370370370369,0.0,1546.0,789.0,100.0,213.0,11.0,5740.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_crossover_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_crossover,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,581.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,40.52923750000264,0.9350752177355502,0.21918453975850666,-0.008400455014458658,0.21428571428571427,13.333333333333334,2688.0,1040.0,733.0,596.0,11.0,6882.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_forget_dose_128_log_skeleton_closure_low_log2048_final_low2048,evo_forget,128,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,559.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,32.21734129199831,0.8533440773569702,0.23778952429700445,0.023385831211627156,0.1875,13.513513513513514,1840.0,790.0,45.0,195.0,11.0,6034.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,evo_forget_dose_512_log_skeleton_closure_low_log2048_final_low2048,evo_forget,512,log_skeleton_closure,low_log2048_final_low2048,low,2048,0,0,0.0,low,2048,565.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,33.31891554200047,0.9133921411387329,0.2241982200197014,0.005089010725223303,0.2916666666666667,0.0,2252.0,1046.0,376.0,593.0,11.0,6446.0,0
